store_id,StoreType,Region,Channel,ACV
288,Restaurant,Fujairah,Horeca,692.9573832
345,Restaurant,Fujairah,Horeca,862.2400083
621,Convenience Store,Dubai,Mini/Self,400.7884097
392,Pharmacy,Ras Al Khaimah,Pharmacies,394.6145213
187,Hypermarket,Dubai,Hyper/Super,301.5093643
136,Hypermarket,Fujairah,Hyper/Super,414.3194711
227,Pharmacy,Umm Al Quwain,Pharmacies,904.8746388
637,Medium Grocery,Abu Dhabi,Grocery,594.579402
196,Supermarket,Dubai,Hyper/Super,449.9665062
136,Restaurant,Abu Dhabi,Horeca,521.1860501
130,Convenience Store,Sharjah,Mini/Self,183.9428062
959,Restaurant,Sharjah,Horeca,695.063544
143,Convenience Store,Ajman,Mini/Self,688.0926607
384,Medium Grocery,Dubai,Grocery,413.1651992
210,Supermarket,Ajman,Hyper/Super,189.3710816
885,Convenience Store,Ajman,Mini/Self,784.4396845
320,Pharmacy,Sharjah,Pharmacies,972.8776684
499,Restaurant,Dubai,Horeca,712.6129834
350,Medium Grocery,Fujairah,Grocery,313.3417649
767,large Grocery,Ajman,Grocery,348.1275417
496,Supermarket,Ras Al Khaimah,Hyper/Super,749.83752
613,Hypermarket,Sharjah,Hyper/Super,712.51992
685,Small Grocery,Umm Al Quwain,Grocery,358.9957833
964,Hypermarket,Abu Dhabi,Hyper/Super,285.262933
521,large Grocery,Sharjah,Grocery,265.1597308
809,Small Grocery,Abu Dhabi,Grocery,396.7136617
660,Convenience Store,Abu Dhabi,Mini/Self,288.3346678
959,Pharmacy,Fujairah,Pharmacies,428.4546772
473,Restaurant,Ajman,Horeca,811.1314777
874,Restaurant,Ajman,Horeca,959.8272813
743,Supermarket,Dubai,Hyper/Super,965.3603368
547,Convenience Store,Ras Al Khaimah,Mini/Self,739.9900484
795,Pharmacy,Ras Al Khaimah,Pharmacies,978.150937
984,Small Grocery,Fujairah,Grocery,129.4402172
203,Supermarket,Dubai,Hyper/Super,820.1600267
289,Small Grocery,Ras Al Khaimah,Grocery,188.0165333
335,Convenience Store,Umm Al Quwain,Mini/Self,517.317731
212,Restaurant,Sharjah,Horeca,754.1950105
890,Hypermarket,Fujairah,Hyper/Super,897.1036091
961,Pharmacy,Fujairah,Pharmacies,462.0679908
102,Small Grocery,Fujairah,Grocery,144.9475643
868,Medium Grocery,Dubai,Grocery,659.7242498
859,Supermarket,Dubai,Hyper/Super,635.3810958
536,Pharmacy,Ajman,Pharmacies,300.1986616
158,large Grocery,Abu Dhabi,Grocery,701.1756211
253,Pharmacy,Ajman,Pharmacies,823.5217398
478,Restaurant,Sharjah,Horeca,169.9752231
692,Medium Grocery,Ajman,Grocery,255.3338227
460,Hypermarket,Sharjah,Hyper/Super,487.6735867
143,Pharmacy,Ras Al Khaimah,Pharmacies,587.9488807
658,Convenience Store,Dubai,Mini/Self,730.5431031
579,Convenience Store,Fujairah,Mini/Self,978.6917428
329,Hypermarket,Umm Al Quwain,Hyper/Super,767.4458429
898,Convenience Store,Fujairah,Mini/Self,995.3757931
182,Restaurant,Dubai,Horeca,954.4860017
834,Restaurant,Umm Al Quwain,Horeca,104.9773681
581,Supermarket,Ras Al Khaimah,Hyper/Super,666.2776693
908,Supermarket,Sharjah,Hyper/Super,643.7069028
674,Supermarket,Ras Al Khaimah,Hyper/Super,791.6196332
728,Convenience Store,Umm Al Quwain,Mini/Self,598.2823351
981,Small Grocery,Abu Dhabi,Grocery,171.1335581
809,Hypermarket,Ajman,Hyper/Super,455.50309
917,Pharmacy,Ras Al Khaimah,Pharmacies,955.9925158
862,Small Grocery,Ajman,Grocery,542.4312441
745,Medium Grocery,Dubai,Grocery,584.6230373
597,Small Grocery,Abu Dhabi,Grocery,675.0667697
533,Medium Grocery,Sharjah,Grocery,947.5368009
826,Restaurant,Umm Al Quwain,Horeca,798.1033853
526,large Grocery,Sharjah,Grocery,170.1066822
140,Restaurant,Abu Dhabi,Horeca,452.273913
973,large Grocery,Dubai,Grocery,403.2570244
135,Restaurant,Fujairah,Horeca,595.2523674
688,Pharmacy,Fujairah,Pharmacies,885.4304748
786,Medium Grocery,Sharjah,Grocery,526.381195
941,Small Grocery,Sharjah,Grocery,843.7368608
329,Medium Grocery,Abu Dhabi,Grocery,288.3464684
321,Supermarket,Dubai,Hyper/Super,753.7584817
135,Pharmacy,Dubai,Pharmacies,457.6995057
772,large Grocery,Fujairah,Grocery,336.4077097
447,Restaurant,Ajman,Horeca,307.0251553
425,Convenience Store,Umm Al Quwain,Mini/Self,399.2063967
631,Restaurant,Sharjah,Horeca,167.4970076
138,Restaurant,Fujairah,Horeca,966.0814174
734,large Grocery,Umm Al Quwain,Grocery,477.1494367
818,large Grocery,Sharjah,Grocery,321.9068445
571,Restaurant,Ras Al Khaimah,Horeca,453.5207481
641,Pharmacy,Dubai,Pharmacies,177.2456262
482,Convenience Store,Abu Dhabi,Mini/Self,652.3721982
667,Supermarket,Fujairah,Hyper/Super,381.1124582
680,large Grocery,Abu Dhabi,Grocery,691.0579911
659,Medium Grocery,Ras Al Khaimah,Grocery,156.4875381
920,large Grocery,Sharjah,Grocery,750.5964424
240,Hypermarket,Dubai,Hyper/Super,531.2417032
389,Small Grocery,Umm Al Quwain,Grocery,608.451594
625,Hypermarket,Ras Al Khaimah,Hyper/Super,551.8940006
